NumberPlate	Date	Time
NumberPlate	Date	Time
NumberPlate	Date	Time
NumberPlate	Date	Time
NumberPlate	Date	Time
NumberPlate	Date	Time
NumberPlate	Date	Time
NumberPlate	Date	Time
NumberPlate	Date	Time
NumberPlate	Date	Time
NumberPlate	Date	Time
Xa 02 HN 482e	2024-03-16 11:50:59
Ka 02 HN 1828	2024-03-16 11:50:59
4 02 HN 1828	2024-03-16 11:50:59
Ka 02 HN 18281	2024-03-16 11:50:59
KA 02 MM 9091	2024-03-16 11:51:27
SUBSCRIBE	2024-03-16 11:51:39
NumberPlate	Date	Time
DL 7C D 5017	2024-03-16 11:56:35
DL 3C BJ 1384	2024-03-16 11:56:41
ME	2024-03-16 11:56:48
HR26C06869]	2024-03-16 11:56:50
NumberPlate	Date	Time
DL 7C D 5017	2024-03-16 12:01:06
DL 7C	2024-03-16 12:01:06
DL 7C 0 5017	2024-03-16 12:01:09
DL 3C BJ 1384	2024-03-16 12:01:13
DL 3C BJ1384	2024-03-16 12:01:15
DL 3C B J 1384	2024-03-16 12:01:16
DL3CB J 1384	2024-03-16 12:01:16
DL 3C B J1384	2024-03-16 12:01:16
DLZCATL762	2024-03-16 12:01:21
ME	2024-03-16 12:01:25
3. 54 : 27	2024-03-16 12:01:27
27	2024-03-16 12:01:31
54 : 27	2024-03-16 12:01:34
HR26C06869]	2024-03-16 12:01:37
HR26CO6869	2024-03-16 12:01:39
HR26C06869	2024-03-16 12:01:40
HRZ6	2024-03-16 12:01:43
HR26C06869}	2024-03-16 12:01:48
NumberPlate	Date	Time
DL 7C D 5017	2024-03-16 12:06:06
DL 7C 0 5017	2024-03-16 12:06:07
DL 3C BJ 1384	2024-03-16 12:06:12
DL 3C BJ1384	2024-03-16 12:06:12
DL 3C B J 1384	2024-03-16 12:06:13
DL3CB J 1384	2024-03-16 12:06:13
DL 3C B J1384	2024-03-16 12:06:13
DLZCATL762	2024-03-16 12:06:18
54 : 27	2024-03-16 12:06:24
HR26CO6869	2024-03-16 12:06:30
HR26C06869	2024-03-16 12:06:32
HRZ6	2024-03-16 12:06:34
HR26C06869}	2024-03-16 12:06:38
